GroupId,Set,Color,CardCount,SourceDir,TestProject,GoalId
AD1/Black,AD1,Black,1,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/AD1/Black,CardEffect.AD1.Black.Tests,CARDS-AD1-Black
AD1/Blue,AD1,Blue,8,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/AD1/Blue,CardEffect.AD1.Blue.Tests,CARDS-AD1-Blue
AD1/Green,AD1,Green,1,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/AD1/Green,CardEffect.AD1.Green.Tests,CARDS-AD1-Green
AD1/Purple,AD1,Purple,1,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/AD1/Purple,CardEffect.AD1.Purple.Tests,CARDS-AD1-Purple
AD1/Red,AD1,Red,10,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/AD1/Red,CardEffect.AD1.Red.Tests,CARDS-AD1-Red
AD1/Yellow,AD1,Yellow,4,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/AD1/Yellow,CardEffect.AD1.Yellow.Tests,CARDS-AD1-Yellow
BT1/Blue,BT1,Blue,22,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT1/Blue,CardEffect.BT1.Blue.Tests,CARDS-BT1-Blue
BT1/Green,BT1,Green,23,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT1/Green,CardEffect.BT1.Green.Tests,CARDS-BT1-Green
BT1/Red,BT1,Red,22,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT1/Red,CardEffect.BT1.Red.Tests,CARDS-BT1-Red
BT1/White,BT1,White,1,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT1/White,CardEffect.BT1.White.Tests,CARDS-BT1-White
BT1/Yellow,BT1,Yellow,20,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT1/Yellow,CardEffect.BT1.Yellow.Tests,CARDS-BT1-Yellow
BT2/Black,BT2,Black,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT2/Black,CardEffect.BT2.Black.Tests,CARDS-BT2-Black
BT2/Blue,BT2,Blue,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT2/Blue,CardEffect.BT2.Blue.Tests,CARDS-BT2-Blue
BT2/Green,BT2,Green,12,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT2/Green,CardEffect.BT2.Green.Tests,CARDS-BT2-Green
BT2/Purple,BT2,Purple,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT2/Purple,CardEffect.BT2.Purple.Tests,CARDS-BT2-Purple
BT2/Red,BT2,Red,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT2/Red,CardEffect.BT2.Red.Tests,CARDS-BT2-Red
BT2/White,BT2,White,2,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT2/White,CardEffect.BT2.White.Tests,CARDS-BT2-White
BT2/Yellow,BT2,Yellow,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT2/Yellow,CardEffect.BT2.Yellow.Tests,CARDS-BT2-Yellow
BT3/Black,BT3,Black,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT3/Black,CardEffect.BT3.Black.Tests,CARDS-BT3-Black
BT3/Blue,BT3,Blue,9,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT3/Blue,CardEffect.BT3.Blue.Tests,CARDS-BT3-Blue
BT3/Green,BT3,Green,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT3/Green,CardEffect.BT3.Green.Tests,CARDS-BT3-Green
BT3/Purple,BT3,Purple,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT3/Purple,CardEffect.BT3.Purple.Tests,CARDS-BT3-Purple
BT3/Red,BT3,Red,12,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT3/Red,CardEffect.BT3.Red.Tests,CARDS-BT3-Red
BT3/White,BT3,White,1,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT3/White,CardEffect.BT3.White.Tests,CARDS-BT3-White
BT3/Yellow,BT3,Yellow,9,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT3/Yellow,CardEffect.BT3.Yellow.Tests,CARDS-BT3-Yellow
BT4/Black,BT4,Black,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT4/Black,CardEffect.BT4.Black.Tests,CARDS-BT4-Black
BT4/Blue,BT4,Blue,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT4/Blue,CardEffect.BT4.Blue.Tests,CARDS-BT4-Blue
BT4/Green,BT4,Green,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT4/Green,CardEffect.BT4.Green.Tests,CARDS-BT4-Green
BT4/Purple,BT4,Purple,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT4/Purple,CardEffect.BT4.Purple.Tests,CARDS-BT4-Purple
BT4/Red,BT4,Red,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT4/Red,CardEffect.BT4.Red.Tests,CARDS-BT4-Red
BT4/White,BT4,White,2,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT4/White,CardEffect.BT4.White.Tests,CARDS-BT4-White
BT4/Yellow,BT4,Yellow,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT4/Yellow,CardEffect.BT4.Yellow.Tests,CARDS-BT4-Yellow
BT5/Black,BT5,Black,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT5/Black,CardEffect.BT5.Black.Tests,CARDS-BT5-Black
BT5/Blue,BT5,Blue,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT5/Blue,CardEffect.BT5.Blue.Tests,CARDS-BT5-Blue
BT5/Green,BT5,Green,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT5/Green,CardEffect.BT5.Green.Tests,CARDS-BT5-Green
BT5/Purple,BT5,Purple,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT5/Purple,CardEffect.BT5.Purple.Tests,CARDS-BT5-Purple
BT5/Red,BT5,Red,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT5/Red,CardEffect.BT5.Red.Tests,CARDS-BT5-Red
BT5/White,BT5,White,11,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT5/White,CardEffect.BT5.White.Tests,CARDS-BT5-White
BT5/Yellow,BT5,Yellow,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT5/Yellow,CardEffect.BT5.Yellow.Tests,CARDS-BT5-Yellow
BT6/Black,BT6,Black,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Black,CardEffect.BT6.Black.Tests,CARDS-BT6-Black
BT6/Blue,BT6,Blue,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Blue,CardEffect.BT6.Blue.Tests,CARDS-BT6-Blue
BT6/Green,BT6,Green,11,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Green,CardEffect.BT6.Green.Tests,CARDS-BT6-Green
BT6/Purple,BT6,Purple,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Purple,CardEffect.BT6.Purple.Tests,CARDS-BT6-Purple
BT6/Red,BT6,Red,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Red,CardEffect.BT6.Red.Tests,CARDS-BT6-Red
BT6/White,BT6,White,7,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/White,CardEffect.BT6.White.Tests,CARDS-BT6-White
BT6/Yellow,BT6,Yellow,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Yellow,CardEffect.BT6.Yellow.Tests,CARDS-BT6-Yellow
BT7/Black,BT7,Black,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Black,CardEffect.BT7.Black.Tests,CARDS-BT7-Black
BT7/Blue,BT7,Blue,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Blue,CardEffect.BT7.Blue.Tests,CARDS-BT7-Blue
BT7/Green,BT7,Green,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Green,CardEffect.BT7.Green.Tests,CARDS-BT7-Green
BT7/Purple,BT7,Purple,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Purple,CardEffect.BT7.Purple.Tests,CARDS-BT7-Purple
BT7/Red,BT7,Red,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Red,CardEffect.BT7.Red.Tests,CARDS-BT7-Red
BT7/White,BT7,White,7,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/White,CardEffect.BT7.White.Tests,CARDS-BT7-White
BT7/Yellow,BT7,Yellow,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Yellow,CardEffect.BT7.Yellow.Tests,CARDS-BT7-Yellow
BT8/Black,BT8,Black,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Black,CardEffect.BT8.Black.Tests,CARDS-BT8-Black
BT8/Blue,BT8,Blue,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Blue,CardEffect.BT8.Blue.Tests,CARDS-BT8-Blue
BT8/Green,BT8,Green,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Green,CardEffect.BT8.Green.Tests,CARDS-BT8-Green
BT8/Purple,BT8,Purple,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Purple,CardEffect.BT8.Purple.Tests,CARDS-BT8-Purple
BT8/Red,BT8,Red,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Red,CardEffect.BT8.Red.Tests,CARDS-BT8-Red
BT8/White,BT8,White,4,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/White,CardEffect.BT8.White.Tests,CARDS-BT8-White
BT8/Yellow,BT8,Yellow,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Yellow,CardEffect.BT8.Yellow.Tests,CARDS-BT8-Yellow
BT9/Black,BT9,Black,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Black,CardEffect.BT9.Black.Tests,CARDS-BT9-Black
BT9/Blue,BT9,Blue,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Blue,CardEffect.BT9.Blue.Tests,CARDS-BT9-Blue
BT9/Green,BT9,Green,12,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Green,CardEffect.BT9.Green.Tests,CARDS-BT9-Green
BT9/Purple,BT9,Purple,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Purple,CardEffect.BT9.Purple.Tests,CARDS-BT9-Purple
BT9/Red,BT9,Red,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Red,CardEffect.BT9.Red.Tests,CARDS-BT9-Red
BT9/White,BT9,White,4,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/White,CardEffect.BT9.White.Tests,CARDS-BT9-White
BT9/Yellow,BT9,Yellow,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Yellow,CardEffect.BT9.Yellow.Tests,CARDS-BT9-Yellow
BT10/Black,BT10,Black,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Black,CardEffect.BT10.Black.Tests,CARDS-BT10-Black
BT10/Blue,BT10,Blue,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Blue,CardEffect.BT10.Blue.Tests,CARDS-BT10-Blue
BT10/Green,BT10,Green,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Green,CardEffect.BT10.Green.Tests,CARDS-BT10-Green
BT10/Purple,BT10,Purple,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Purple,CardEffect.BT10.Purple.Tests,CARDS-BT10-Purple
BT10/Red,BT10,Red,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Red,CardEffect.BT10.Red.Tests,CARDS-BT10-Red
BT10/White,BT10,White,4,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/White,CardEffect.BT10.White.Tests,CARDS-BT10-White
BT10/Yellow,BT10,Yellow,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Yellow,CardEffect.BT10.Yellow.Tests,CARDS-BT10-Yellow
BT11/Black,BT11,Black,22,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Black,CardEffect.BT11.Black.Tests,CARDS-BT11-Black
BT11/Blue,BT11,Blue,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Blue,CardEffect.BT11.Blue.Tests,CARDS-BT11-Blue
BT11/Green,BT11,Green,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Green,CardEffect.BT11.Green.Tests,CARDS-BT11-Green
BT11/Purple,BT11,Purple,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Purple,CardEffect.BT11.Purple.Tests,CARDS-BT11-Purple
BT11/Red,BT11,Red,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Red,CardEffect.BT11.Red.Tests,CARDS-BT11-Red
BT11/White,BT11,White,1,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/White,CardEffect.BT11.White.Tests,CARDS-BT11-White
BT11/Yellow,BT11,Yellow,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Yellow,CardEffect.BT11.Yellow.Tests,CARDS-BT11-Yellow
BT12/Black,BT12,Black,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Black,CardEffect.BT12.Black.Tests,CARDS-BT12-Black
BT12/Blue,BT12,Blue,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Blue,CardEffect.BT12.Blue.Tests,CARDS-BT12-Blue
BT12/Green,BT12,Green,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Green,CardEffect.BT12.Green.Tests,CARDS-BT12-Green
BT12/Purple,BT12,Purple,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Purple,CardEffect.BT12.Purple.Tests,CARDS-BT12-Purple
BT12/Red,BT12,Red,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Red,CardEffect.BT12.Red.Tests,CARDS-BT12-Red
BT12/White,BT12,White,3,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/White,CardEffect.BT12.White.Tests,CARDS-BT12-White
BT12/Yellow,BT12,Yellow,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Yellow,CardEffect.BT12.Yellow.Tests,CARDS-BT12-Yellow
BT13/Black,BT13,Black,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Black,CardEffect.BT13.Black.Tests,CARDS-BT13-Black
BT13/Blue,BT13,Blue,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Blue,CardEffect.BT13.Blue.Tests,CARDS-BT13-Blue
BT13/Green,BT13,Green,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Green,CardEffect.BT13.Green.Tests,CARDS-BT13-Green
BT13/Purple,BT13,Purple,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Purple,CardEffect.BT13.Purple.Tests,CARDS-BT13-Purple
BT13/Red,BT13,Red,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Red,CardEffect.BT13.Red.Tests,CARDS-BT13-Red
BT13/White,BT13,White,4,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/White,CardEffect.BT13.White.Tests,CARDS-BT13-White
BT13/Yellow,BT13,Yellow,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Yellow,CardEffect.BT13.Yellow.Tests,CARDS-BT13-Yellow
BT14/Black,BT14,Black,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Black,CardEffect.BT14.Black.Tests,CARDS-BT14-Black
BT14/Blue,BT14,Blue,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Blue,CardEffect.BT14.Blue.Tests,CARDS-BT14-Blue
BT14/Green,BT14,Green,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Green,CardEffect.BT14.Green.Tests,CARDS-BT14-Green
BT14/Purple,BT14,Purple,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Purple,CardEffect.BT14.Purple.Tests,CARDS-BT14-Purple
BT14/Red,BT14,Red,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Red,CardEffect.BT14.Red.Tests,CARDS-BT14-Red
BT14/White,BT14,White,1,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/White,CardEffect.BT14.White.Tests,CARDS-BT14-White
BT14/Yellow,BT14,Yellow,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Yellow,CardEffect.BT14.Yellow.Tests,CARDS-BT14-Yellow
BT15/Black,BT15,Black,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/Black,CardEffect.BT15.Black.Tests,CARDS-BT15-Black
BT15/Blue,BT15,Blue,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/Blue,CardEffect.BT15.Blue.Tests,CARDS-BT15-Blue
BT15/Green,BT15,Green,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/Green,CardEffect.BT15.Green.Tests,CARDS-BT15-Green
BT15/Purple,BT15,Purple,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/Purple,CardEffect.BT15.Purple.Tests,CARDS-BT15-Purple
BT15/Red,BT15,Red,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/Red,CardEffect.BT15.Red.Tests,CARDS-BT15-Red
BT15/White,BT15,White,1,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/White,CardEffect.BT15.White.Tests,CARDS-BT15-White
