category,existing_dependency_function_name,existing_location,current_porting_function_name,current_location,status,notes
Runtime And Lifecycle Mapping,GManager.Init,DCGO/Assets/Scripts/Script/GManager.cs,"DcgoMatch.InitializeAsync(MatchConfig, CancellationToken)",src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:39,PORTED,Top-level match initialization entry point.
Runtime And Lifecycle Mapping,TurnStateMachine.Init,DCGO/Assets/Scripts/Script/TurnStateMachine.cs,IHeadlessTurnController.Initialize(...) / InMemoryHeadlessTurnController.Initialize(...),"src/HeadlessDCGO.Engine/Headless/Runtime/IHeadlessTurnController.cs:10, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:12",CONTRACT,Initializes turn order and phase state without Unity lifecycle.
Runtime And Lifecycle Mapping,GameStateMachine loop,DCGO/Assets/Scripts/Script/TurnStateMachine.cs,DcgoMatch.StepAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:103,PORTED,Public one-step match progression API.
Runtime And Lifecycle Mapping,Update / frame loop,Unity MonoBehaviour methods,HeadlessGameLoop.StepAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessGameLoop.cs:39,PORTED,Explicit deterministic step replaces frame-driven update.
Runtime And Lifecycle Mapping,Reset / match reset callbacks,Unity MonoBehaviour and game scripts,DcgoMatch.ResetAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:81,PORTED,Resets match-scoped services and current state.
Runtime And Lifecycle Mapping,match-scoped service reset,"GameContext, Player, TurnStateMachine reset flows",EngineContext.ResetMatchState(),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:174,PORTED,Calls resettable Headless services.
Runtime And Lifecycle Mapping,"EndGame, SetLose, Surrender","TurnStateMachine.cs, Player.cs",DcgoMatch.GetResult() / MatchResult,"src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:264, src/HeadlessDCGO.Engine/Headless/Runtime/MatchResult.cs",CONTRACT,Result model is fixed; full win/loss rules expand later.
Runtime And Lifecycle Mapping,terminal state query,TurnStateMachine.endGame style checks,DcgoMatch.IsTerminal() / IRuleQueryService.IsTerminal(),"src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:252, src/HeadlessDCGO.Engine/Headless/Services/IRuleQueryService.cs:10",PORTED,Terminal query is service-based.
Singleton And Component Access Mapping,GManager.instance,DCGO/Assets/Scripts/Script/GManager.cs,EngineContext,src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:15,PORTED,Root injected dependency container.
Singleton And Component Access Mapping,GManager.instance.turnStateMachine,"GManager.cs, TurnStateMachine.cs",GManagerBridge.GetTurnStateMachine(),src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs:30,BRIDGE,Temporary compatibility accessor. Prefer EngineContext.TurnController.
Singleton And Component Access Mapping,GManager.instance.autoProcessing,"GManager.cs, AutoProcessing.cs",GManagerBridge.GetAutoProcessing() / EngineContext.EffectScheduler,"src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs:35, src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:75",BRIDGE,Maps auto-processing to effect scheduler contract.
Singleton And Component Access Mapping,GManager.instance.attackProcess,"GManager.cs, AttackProcess.cs",GManagerBridge.GetAttackProcess() / EngineContext.AttackController,"src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs:40, src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:67",BRIDGE,Attack rules remain later Phase work; state contract exists.
Singleton And Component Access Mapping,GetComponent<T>(),Unity scene object scripts,EngineContext.GetService<TService>(),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:107,PORTED,Service lookup replaces scene component lookup.
Singleton And Component Access Mapping,dynamic service registration,Unity scene object composition,EngineContext.RegisterService<TService>(...),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:148,PORTED,Allows explicit test/runner injection.
Singleton And Component Access Mapping,missing service probe,GetComponent<T>() != null style checks,EngineContext.TryGetService<TService>(out ...),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:128,PORTED,No Unity null semantics.
Singleton And Component Access Mapping,ContinuousController.instance,DCGO/Assets/Scripts/Script/ContinuousController.cs,ContinuousContext.Create(...) / ContinuousContext.FromMatchConfig(...),"src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs:98, src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs:127",PORTED,Global runtime flags become immutable/context data.
Singleton And Component Access Mapping,PlayerPrefs.Get/Set for gameplay-affecting options,Unity preference usage,MatchConfig / ContinuousContext.ToMatchConfig(),src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs:148,CONTRACT,Hidden preferences must become explicit config.
Coroutine And Time Mapping,StartCoroutine(IEnumerator),"GManager.cs, ContinuousController.cs, TurnStateMachine.cs, CardObjectController.cs",EngineTaskRunner.Enqueue(IEngineTask),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:9,PORTED,Queue task for deterministic execution.
Coroutine And Time Mapping,immediate coroutine run,coroutine-heavy AS-IS flows,"EngineTaskRunner.RunAsync(IEngineTask, CancellationToken)",src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:15,PORTED,Run one task through the runner.
Coroutine And Time Mapping,one frame coroutine tick,Unity frame scheduler,EngineTaskRunner.StepAsync(...),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:21,PORTED,Explicit scheduler step.
Coroutine And Time Mapping,run until coroutine queue drains,nested coroutine chains,EngineTaskRunner.RunUntilIdleAsync(...),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:54,PORTED,Deterministic equivalent for queue drain.
Coroutine And Time Mapping,StopAllCoroutines / clear pending flows,coroutine owner cleanup,EngineTaskRunner.Clear(),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:69,PORTED,Clears pending engine tasks.
Coroutine And Time Mapping,IEnumerator effect/action methods,"CardController.cs, AutoProcessing.cs, AttackProcess.cs, TurnStateMachine.cs",CoroutineAdapter.FromEnumerator(IEnumerator),src/HeadlessDCGO.Engine/Headless/Coroutines/CoroutineAdapter.cs:7,BRIDGE,Temporary adapter while IEnumerator logic is converted.
Coroutine And Time Mapping,WaitForSeconds,Unity coroutine waits,EngineWaitCondition.Seconds(double) / Seconds(TimeSpan),"src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs:25, src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs:43",PORTED,"Time is explicit condition, not Unity wall-clock frame wait."
Coroutine And Time Mapping,WaitUntil / WaitWhile,Unity coroutine waits,EngineWaitCondition.Until(Func<bool>),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs:56,PORTED,Predicate waits are explicit and deterministic.
Coroutine And Time Mapping,"Time.deltaTime, Time.time gameplay sequencing",Unity frame-time use,DcgoMatch.StepAsync(...) / HeadlessGameLoop.StepAsync(...),"src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:103, src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessGameLoop.cs:39",CONTRACT,Gameplay progression is action/step based.
"Action, Turn, Attack, Memory Mapping",QueueMainPhaseAction,"TurnStateMachine.cs, Player.cs",HeadlessActionQueue.Enqueue(LegalAction),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs:15,PORTED,Queue legal action for later processing.
"Action, Turn, Attack, Memory Mapping",DequeueMainPhaseAction,"TurnStateMachine.cs, Player.cs",HeadlessActionQueue.TryDequeue(out LegalAction?),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs:52,PORTED,Dequeue next action.
"Action, Turn, Attack, Memory Mapping",main phase action construction,"TurnStateMachine.cs, Player.cs",HeadlessActionFactory.Create(...),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:9,PORTED,Common LegalAction creation entry point.
"Action, Turn, Attack, Memory Mapping",pass/no-op action,main phase command placeholder,"HeadlessActionFactory.NoOp(...), Pass(...)","src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:24, src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:29",PORTED,Test and infrastructure actions.
"Action, Turn, Attack, Memory Mapping",terminal action/result payload,"EndGame, SetLose, surrender flows",HeadlessActionFactory.SetTerminalResult(...),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:39,CONTRACT,Used by metadata processor and tests.
"Action, Turn, Attack, Memory Mapping",main phase action execution,"SetPlayCard, SetActSkill, SetAttackingPermaent, MainPhaseAction",IActionProcessor.ProcessAsync(...) / MetadataActionProcessor.ProcessAsync(...),"src/HeadlessDCGO.Engine/Headless/Runtime/IActionProcessor.cs, src/HeadlessDCGO.Engine/Headless/Runtime/MetadataActionProcessor.cs:10",CONTRACT,Concrete gameplay handlers are later Phase work.
"Action, Turn, Attack, Memory Mapping",legal action query,"CanHatch, CanMove, CanPayCost, main phase command availability",IRuleQueryService.GetLegalActions(...),src/HeadlessDCGO.Engine/Headless/Services/IRuleQueryService.cs:6,CONTRACT,Rule availability surface is fixed.
"Action, Turn, Attack, Memory Mapping",add/remove legal action in tests/porting,action availability setup,IHeadlessLegalActionController.AddLegalActions(...) / RemoveLegalAction(...) / ClearLegalActions(),"src/HeadlessDCGO.Engine/Headless/Services/IHeadlessLegalActionController.cs:6, src/HeadlessDCGO.Engine/Headless/Services/IHeadlessLegalActionController.cs:8, src/HeadlessDCGO.Engine/Headless/Services/IHeadlessLegalActionController.cs:10",PORTED,Deterministic legal-action seed/control surface.
"Action, Turn, Attack, Memory Mapping",phase advance,"SetMainPhase, EndPhase, phase branch changes",InMemoryHeadlessTurnController.AdvancePhase(),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:34,CONTRACT,Phase sequence contract exists.
"Action, Turn, Attack, Memory Mapping",end turn,EndTurn style flow,InMemoryHeadlessTurnController.EndTurn(),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:45,CONTRACT,Turn rotation contract exists.
"Action, Turn, Attack, Memory Mapping",direct phase set,Unity state machine phase assignment,InMemoryHeadlessTurnController.SetPhase(HeadlessPhase),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:61,CONTRACT,For deterministic setup and transition tests.
"Action, Turn, Attack, Memory Mapping",attack declaration,"AttackProcess.cs, attack command",HeadlessActionFactory.DeclareAttack(...) / InMemoryHeadlessAttackController.DeclareAttack(...),"src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:197, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessAttackController.cs:12",CONTRACT,Full battle/security rules later.
"Action, Turn, Attack, Memory Mapping",attack resolution,AttackProcess.cs,HeadlessActionFactory.ResolveAttack(...) / InMemoryHeadlessAttackController.ResolveAttack(...),"src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:216, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessAttackController.cs:34",CONTRACT,Attack result contract exists.
"Action, Turn, Attack, Memory Mapping",memory set/add/pay,memory gauge mutation in AS-IS runtime,"InMemoryHeadlessMemoryController.Set(...), Add(...), Pay(...)","src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:26, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:32, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:42",PORTED,Memory mutation is service controlled.
Choice And UI Selection Mapping,SelectCardEffect.SetUp(...) and related setup fields,DCGO/Assets/Scripts/Script/SelectCardEffect.cs,ChoiceRequest(...),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs:7,PORTED,"Captures type, player, min/max, skip, zone, candidates."
Choice And UI Selection Mapping,SelectPermanentEffect.SetUp(...),SelectPermanentEffect.cs,ChoiceRequest(...) / ChoiceCandidate(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs:7, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceCandidate.cs:7",PORTED,Permanent candidates become stable IDs.
Choice And UI Selection Mapping,SelectCountEffect selected count,SelectCountEffect.cs,ChoiceResult.SelectCount(int),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:57,PORTED,Count selection result.
Choice And UI Selection Mapping,"_targetCards, _targetPermanents","SelectCardEffect.cs, SelectPermanentEffect.cs",ChoiceResult.Select(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:46, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:51",PORTED,Selected target IDs.
Choice And UI Selection Mapping,no-selection / cancel,"canNoSelect, skip button",ChoiceResult.Skip(),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:41,PORTED,Explicit skip result.
Choice And UI Selection Mapping,choice validation,UI-side selectable checks,ChoiceResult.Validate(ChoiceRequest) / ThrowIfInvalid(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:62, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:88",PORTED,Enforces selected IDs/count against request.
Choice And UI Selection Mapping,"Activate(), WaitForEndSelect(), OnClick, EndSelect_RPC","Select*Effect.cs, UserSelectionManager.cs",IChoiceProvider.ChooseAsync(...),src/HeadlessDCGO.Engine/Headless/Choices/IChoiceProvider.cs,PORTED,UI wait/click/RPC becomes deterministic provider call.
Choice And UI Selection Mapping,queued scripted selection,"QueuePlayerSelection, DequeuePlayerSelection",ScriptedChoiceProvider.Enqueue(...) / ChooseAsync(...),"src/HeadlessDCGO.Engine/Headless/Choices/ScriptedChoiceProvider.cs:25, src/HeadlessDCGO.Engine/Headless/Choices/ScriptedChoiceProvider.cs:36",PORTED,Test/replay provider.
Choice And UI Selection Mapping,AI/policy choice,"IsAI, AI action queue",PolicyChoiceProvider.ChooseAsync(...),src/HeadlessDCGO.Engine/Headless/Choices/PolicyChoiceProvider.cs:12,CONTRACT,Policy hook exists; final AI/RL adapter can plug in.
