분류,기존_의존성_함수명,기존_위치,현재_포팅_함수명,현재_위치,상태,상태_설명,한글_설명,원문_메모
런타임/생명주기,GManager.Init,DCGO/Assets/Scripts/Script/GManager.cs,"DcgoMatch.InitializeAsync(MatchConfig, CancellationToken)",src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:39,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Top-level match initialization entry point.
런타임/생명주기,TurnStateMachine.Init,DCGO/Assets/Scripts/Script/TurnStateMachine.cs,IHeadlessTurnController.Initialize(...) / InMemoryHeadlessTurnController.Initialize(...),"src/HeadlessDCGO.Engine/Headless/Runtime/IHeadlessTurnController.cs:10, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:12",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Initializes turn order and phase state without Unity lifecycle.
런타임/생명주기,GameStateMachine loop,DCGO/Assets/Scripts/Script/TurnStateMachine.cs,DcgoMatch.StepAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:103,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Public one-step match progression API.
런타임/생명주기,Update / frame loop,Unity MonoBehaviour methods,HeadlessGameLoop.StepAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessGameLoop.cs:39,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Explicit deterministic step replaces frame-driven update.
런타임/생명주기,Reset / match reset callbacks,Unity MonoBehaviour and game scripts,DcgoMatch.ResetAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:81,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Resets match-scoped services and current state.
런타임/생명주기,match-scoped service reset,"GameContext, Player, TurnStateMachine reset flows",EngineContext.ResetMatchState(),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:174,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Calls resettable Headless services.
런타임/생명주기,"EndGame, SetLose, Surrender","TurnStateMachine.cs, Player.cs",DcgoMatch.GetResult() / MatchResult,"src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:264, src/HeadlessDCGO.Engine/Headless/Runtime/MatchResult.cs",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Result model is fixed; full win/loss rules expand later.
런타임/생명주기,terminal state query,TurnStateMachine.endGame style checks,DcgoMatch.IsTerminal() / IRuleQueryService.IsTerminal(),"src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:252, src/HeadlessDCGO.Engine/Headless/Services/IRuleQueryService.cs:10",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Terminal query is service-based.
싱글톤/컴포넌트 접근,GManager.instance,DCGO/Assets/Scripts/Script/GManager.cs,EngineContext,src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:15,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GManager.instance, ContinuousController.instance, GetComponent 같은 전역/씬 접근을 EngineContext와 명시적 서비스 접근으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Root injected dependency container.
싱글톤/컴포넌트 접근,GManager.instance.turnStateMachine,"GManager.cs, TurnStateMachine.cs",GManagerBridge.GetTurnStateMachine(),src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs:30,BRIDGE,"임시 브리지: 기존 구조를 옮기기 위한 연결부, 새 코드는 직접 서비스 사용 권장","GManager.instance, ContinuousController.instance, GetComponent 같은 전역/씬 접근을 EngineContext와 명시적 서비스 접근으로 바꾼다. 임시 호환용이므로 장기적으로는 직접 Headless 서비스로 옮기는 것이 좋다.",Temporary compatibility accessor. Prefer EngineContext.TurnController.
싱글톤/컴포넌트 접근,GManager.instance.autoProcessing,"GManager.cs, AutoProcessing.cs",GManagerBridge.GetAutoProcessing() / EngineContext.EffectScheduler,"src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs:35, src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:75",BRIDGE,"임시 브리지: 기존 구조를 옮기기 위한 연결부, 새 코드는 직접 서비스 사용 권장","GManager.instance, ContinuousController.instance, GetComponent 같은 전역/씬 접근을 EngineContext와 명시적 서비스 접근으로 바꾼다. 임시 호환용이므로 장기적으로는 직접 Headless 서비스로 옮기는 것이 좋다.",Maps auto-processing to effect scheduler contract.
싱글톤/컴포넌트 접근,GManager.instance.attackProcess,"GManager.cs, AttackProcess.cs",GManagerBridge.GetAttackProcess() / EngineContext.AttackController,"src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs:40, src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:67",BRIDGE,"임시 브리지: 기존 구조를 옮기기 위한 연결부, 새 코드는 직접 서비스 사용 권장","GManager.instance, ContinuousController.instance, GetComponent 같은 전역/씬 접근을 EngineContext와 명시적 서비스 접근으로 바꾼다. 임시 호환용이므로 장기적으로는 직접 Headless 서비스로 옮기는 것이 좋다.",Attack rules remain later Phase work; state contract exists.
싱글톤/컴포넌트 접근,GetComponent<T>(),Unity scene object scripts,EngineContext.GetService<TService>(),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:107,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GManager.instance, ContinuousController.instance, GetComponent 같은 전역/씬 접근을 EngineContext와 명시적 서비스 접근으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Service lookup replaces scene component lookup.
싱글톤/컴포넌트 접근,dynamic service registration,Unity scene object composition,EngineContext.RegisterService<TService>(...),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:148,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GManager.instance, ContinuousController.instance, GetComponent 같은 전역/씬 접근을 EngineContext와 명시적 서비스 접근으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Allows explicit test/runner injection.
싱글톤/컴포넌트 접근,missing service probe,GetComponent<T>() != null style checks,EngineContext.TryGetService<TService>(out ...),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:128,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GManager.instance, ContinuousController.instance, GetComponent 같은 전역/씬 접근을 EngineContext와 명시적 서비스 접근으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",No Unity null semantics.
싱글톤/컴포넌트 접근,ContinuousController.instance,DCGO/Assets/Scripts/Script/ContinuousController.cs,ContinuousContext.Create(...) / ContinuousContext.FromMatchConfig(...),"src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs:98, src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs:127",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GManager.instance, ContinuousController.instance, GetComponent 같은 전역/씬 접근을 EngineContext와 명시적 서비스 접근으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Global runtime flags become immutable/context data.
싱글톤/컴포넌트 접근,PlayerPrefs.Get/Set for gameplay-affecting options,Unity preference usage,MatchConfig / ContinuousContext.ToMatchConfig(),src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs:148,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"GManager.instance, ContinuousController.instance, GetComponent 같은 전역/씬 접근을 EngineContext와 명시적 서비스 접근으로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Hidden preferences must become explicit config.
코루틴/시간 처리,StartCoroutine(IEnumerator),"GManager.cs, ContinuousController.cs, TurnStateMachine.cs, CardObjectController.cs",EngineTaskRunner.Enqueue(IEngineTask),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:9,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"StartCoroutine, IEnumerator, WaitForSeconds 같은 Unity 코루틴/프레임 대기를 EngineTaskRunner와 EngineWaitCondition으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Queue task for deterministic execution.
코루틴/시간 처리,immediate coroutine run,coroutine-heavy AS-IS flows,"EngineTaskRunner.RunAsync(IEngineTask, CancellationToken)",src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:15,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"StartCoroutine, IEnumerator, WaitForSeconds 같은 Unity 코루틴/프레임 대기를 EngineTaskRunner와 EngineWaitCondition으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Run one task through the runner.
코루틴/시간 처리,one frame coroutine tick,Unity frame scheduler,EngineTaskRunner.StepAsync(...),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:21,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"StartCoroutine, IEnumerator, WaitForSeconds 같은 Unity 코루틴/프레임 대기를 EngineTaskRunner와 EngineWaitCondition으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Explicit scheduler step.
코루틴/시간 처리,run until coroutine queue drains,nested coroutine chains,EngineTaskRunner.RunUntilIdleAsync(...),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:54,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"StartCoroutine, IEnumerator, WaitForSeconds 같은 Unity 코루틴/프레임 대기를 EngineTaskRunner와 EngineWaitCondition으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Deterministic equivalent for queue drain.
코루틴/시간 처리,StopAllCoroutines / clear pending flows,coroutine owner cleanup,EngineTaskRunner.Clear(),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:69,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"StartCoroutine, IEnumerator, WaitForSeconds 같은 Unity 코루틴/프레임 대기를 EngineTaskRunner와 EngineWaitCondition으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Clears pending engine tasks.
코루틴/시간 처리,IEnumerator effect/action methods,"CardController.cs, AutoProcessing.cs, AttackProcess.cs, TurnStateMachine.cs",CoroutineAdapter.FromEnumerator(IEnumerator),src/HeadlessDCGO.Engine/Headless/Coroutines/CoroutineAdapter.cs:7,BRIDGE,"임시 브리지: 기존 구조를 옮기기 위한 연결부, 새 코드는 직접 서비스 사용 권장","StartCoroutine, IEnumerator, WaitForSeconds 같은 Unity 코루틴/프레임 대기를 EngineTaskRunner와 EngineWaitCondition으로 바꾼다. 임시 호환용이므로 장기적으로는 직접 Headless 서비스로 옮기는 것이 좋다.",Temporary adapter while IEnumerator logic is converted.
코루틴/시간 처리,WaitForSeconds,Unity coroutine waits,EngineWaitCondition.Seconds(double) / Seconds(TimeSpan),"src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs:25, src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs:43",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"StartCoroutine, IEnumerator, WaitForSeconds 같은 Unity 코루틴/프레임 대기를 EngineTaskRunner와 EngineWaitCondition으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.","Time is explicit condition, not Unity wall-clock frame wait."
코루틴/시간 처리,WaitUntil / WaitWhile,Unity coroutine waits,EngineWaitCondition.Until(Func<bool>),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs:56,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"StartCoroutine, IEnumerator, WaitForSeconds 같은 Unity 코루틴/프레임 대기를 EngineTaskRunner와 EngineWaitCondition으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Predicate waits are explicit and deterministic.
코루틴/시간 처리,"Time.deltaTime, Time.time gameplay sequencing",Unity frame-time use,DcgoMatch.StepAsync(...) / HeadlessGameLoop.StepAsync(...),"src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:103, src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessGameLoop.cs:39",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"StartCoroutine, IEnumerator, WaitForSeconds 같은 Unity 코루틴/프레임 대기를 EngineTaskRunner와 EngineWaitCondition으로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Gameplay progression is action/step based.
액션/턴/공격/메모리,QueueMainPhaseAction,"TurnStateMachine.cs, Player.cs",HeadlessActionQueue.Enqueue(LegalAction),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs:15,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Queue legal action for later processing.
액션/턴/공격/메모리,DequeueMainPhaseAction,"TurnStateMachine.cs, Player.cs",HeadlessActionQueue.TryDequeue(out LegalAction?),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs:52,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Dequeue next action.
액션/턴/공격/메모리,main phase action construction,"TurnStateMachine.cs, Player.cs",HeadlessActionFactory.Create(...),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:9,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Common LegalAction creation entry point.
액션/턴/공격/메모리,pass/no-op action,main phase command placeholder,"HeadlessActionFactory.NoOp(...), Pass(...)","src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:24, src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:29",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Test and infrastructure actions.
액션/턴/공격/메모리,terminal action/result payload,"EndGame, SetLose, surrender flows",HeadlessActionFactory.SetTerminalResult(...),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:39,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Used by metadata processor and tests.
액션/턴/공격/메모리,main phase action execution,"SetPlayCard, SetActSkill, SetAttackingPermaent, MainPhaseAction",IActionProcessor.ProcessAsync(...) / MetadataActionProcessor.ProcessAsync(...),"src/HeadlessDCGO.Engine/Headless/Runtime/IActionProcessor.cs, src/HeadlessDCGO.Engine/Headless/Runtime/MetadataActionProcessor.cs:10",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Concrete gameplay handlers are later Phase work.
액션/턴/공격/메모리,legal action query,"CanHatch, CanMove, CanPayCost, main phase command availability",IRuleQueryService.GetLegalActions(...),src/HeadlessDCGO.Engine/Headless/Services/IRuleQueryService.cs:6,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Rule availability surface is fixed.
액션/턴/공격/메모리,add/remove legal action in tests/porting,action availability setup,IHeadlessLegalActionController.AddLegalActions(...) / RemoveLegalAction(...) / ClearLegalActions(),"src/HeadlessDCGO.Engine/Headless/Services/IHeadlessLegalActionController.cs:6, src/HeadlessDCGO.Engine/Headless/Services/IHeadlessLegalActionController.cs:8, src/HeadlessDCGO.Engine/Headless/Services/IHeadlessLegalActionController.cs:10",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Deterministic legal-action seed/control surface.
액션/턴/공격/메모리,phase advance,"SetMainPhase, EndPhase, phase branch changes",InMemoryHeadlessTurnController.AdvancePhase(),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:34,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Phase sequence contract exists.
액션/턴/공격/메모리,end turn,EndTurn style flow,InMemoryHeadlessTurnController.EndTurn(),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:45,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Turn rotation contract exists.
액션/턴/공격/메모리,direct phase set,Unity state machine phase assignment,InMemoryHeadlessTurnController.SetPhase(HeadlessPhase),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:61,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",For deterministic setup and transition tests.
액션/턴/공격/메모리,attack declaration,"AttackProcess.cs, attack command",HeadlessActionFactory.DeclareAttack(...) / InMemoryHeadlessAttackController.DeclareAttack(...),"src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:197, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessAttackController.cs:12",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Full battle/security rules later.
액션/턴/공격/메모리,attack resolution,AttackProcess.cs,HeadlessActionFactory.ResolveAttack(...) / InMemoryHeadlessAttackController.ResolveAttack(...),"src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:216, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessAttackController.cs:34",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Attack result contract exists.
액션/턴/공격/메모리,memory set/add/pay,memory gauge mutation in AS-IS runtime,"InMemoryHeadlessMemoryController.Set(...), Add(...), Pay(...)","src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:26, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:32, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:42",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"기존 메인 페이즈 액션, 턴 전환, 공격, 메모리 조작을 Headless action/controller 계약으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Memory mutation is service controlled.
선택 UI/Choice,SelectCardEffect.SetUp(...) and related setup fields,DCGO/Assets/Scripts/Script/SelectCardEffect.cs,ChoiceRequest(...),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs:7,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"SelectCardEffect 계열 UI 선택과 클릭 대기를 ChoiceRequest, ChoiceResult, IChoiceProvider로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.","Captures type, player, min/max, skip, zone, candidates."
선택 UI/Choice,SelectPermanentEffect.SetUp(...),SelectPermanentEffect.cs,ChoiceRequest(...) / ChoiceCandidate(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs:7, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceCandidate.cs:7",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"SelectCardEffect 계열 UI 선택과 클릭 대기를 ChoiceRequest, ChoiceResult, IChoiceProvider로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Permanent candidates become stable IDs.
선택 UI/Choice,SelectCountEffect selected count,SelectCountEffect.cs,ChoiceResult.SelectCount(int),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:57,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"SelectCardEffect 계열 UI 선택과 클릭 대기를 ChoiceRequest, ChoiceResult, IChoiceProvider로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Count selection result.
선택 UI/Choice,"_targetCards, _targetPermanents","SelectCardEffect.cs, SelectPermanentEffect.cs",ChoiceResult.Select(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:46, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:51",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"SelectCardEffect 계열 UI 선택과 클릭 대기를 ChoiceRequest, ChoiceResult, IChoiceProvider로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Selected target IDs.
선택 UI/Choice,no-selection / cancel,"canNoSelect, skip button",ChoiceResult.Skip(),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:41,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"SelectCardEffect 계열 UI 선택과 클릭 대기를 ChoiceRequest, ChoiceResult, IChoiceProvider로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Explicit skip result.
선택 UI/Choice,choice validation,UI-side selectable checks,ChoiceResult.Validate(ChoiceRequest) / ThrowIfInvalid(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:62, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:88",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"SelectCardEffect 계열 UI 선택과 클릭 대기를 ChoiceRequest, ChoiceResult, IChoiceProvider로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Enforces selected IDs/count against request.
선택 UI/Choice,"Activate(), WaitForEndSelect(), OnClick, EndSelect_RPC","Select*Effect.cs, UserSelectionManager.cs",IChoiceProvider.ChooseAsync(...),src/HeadlessDCGO.Engine/Headless/Choices/IChoiceProvider.cs,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"SelectCardEffect 계열 UI 선택과 클릭 대기를 ChoiceRequest, ChoiceResult, IChoiceProvider로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",UI wait/click/RPC becomes deterministic provider call.
선택 UI/Choice,queued scripted selection,"QueuePlayerSelection, DequeuePlayerSelection",ScriptedChoiceProvider.Enqueue(...) / ChooseAsync(...),"src/HeadlessDCGO.Engine/Headless/Choices/ScriptedChoiceProvider.cs:25, src/HeadlessDCGO.Engine/Headless/Choices/ScriptedChoiceProvider.cs:36",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"SelectCardEffect 계열 UI 선택과 클릭 대기를 ChoiceRequest, ChoiceResult, IChoiceProvider로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Test/replay provider.
