매핑ID,단계,분류,원본_함수명,원본_위치,원본_의존성_성격,포팅_방식,현재_대표_API,현재_위치,상태,상태_의미,모델_확인_규칙,후속_작업,주의사항,근거
HFM-001,Phase 1,런타임/생명주기,GManager.Init,DCGO/Assets/Scripts/Script/GManager.cs,Unity 생명주기/매치 진행,역할기반_재설계,"DcgoMatch.InitializeAsync(MatchConfig, CancellationToken)",src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:39,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Top-level match initialization entry point.
HFM-002,Phase 1,런타임/생명주기,TurnStateMachine.Init,DCGO/Assets/Scripts/Script/TurnStateMachine.cs,Unity 생명주기/매치 진행,계약고정_후속구현,IHeadlessTurnController.Initialize(...) / InMemoryHeadlessTurnController.Initialize(...),"src/HeadlessDCGO.Engine/Headless/Runtime/IHeadlessTurnController.cs:10, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:12",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Initializes turn order and phase state without Unity lifecycle.
HFM-003,Phase 1,런타임/생명주기,GameStateMachine loop,DCGO/Assets/Scripts/Script/TurnStateMachine.cs,Unity 생명주기/매치 진행,역할기반_재설계,DcgoMatch.StepAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:103,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Public one-step match progression API.
HFM-004,Phase 1,런타임/생명주기,Update / frame loop,Unity MonoBehaviour methods,Unity 생명주기/매치 진행,역할기반_재설계,HeadlessGameLoop.StepAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessGameLoop.cs:39,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Explicit deterministic step replaces frame-driven update.
HFM-005,Phase 1,런타임/생명주기,Reset / match reset callbacks,Unity MonoBehaviour and game scripts,Unity 생명주기/매치 진행,역할기반_재설계,DcgoMatch.ResetAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:81,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Resets match-scoped services and current state.
HFM-006,Phase 1,런타임/생명주기,match-scoped service reset,"GameContext, Player, TurnStateMachine reset flows",Unity 생명주기/매치 진행,역할기반_재설계,EngineContext.ResetMatchState(),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:174,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Calls resettable Headless services.
HFM-007,Phase 1,런타임/생명주기,"EndGame, SetLose, Surrender","TurnStateMachine.cs, Player.cs",Unity 생명주기/매치 진행,계약고정_후속구현,DcgoMatch.GetResult() / MatchResult,"src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:264, src/HeadlessDCGO.Engine/Headless/Runtime/MatchResult.cs",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Result model is fixed; full win/loss rules expand later.
HFM-008,Phase 1,런타임/생명주기,terminal state query,TurnStateMachine.endGame style checks,Unity 생명주기/매치 진행,역할기반_재설계,DcgoMatch.IsTerminal() / IRuleQueryService.IsTerminal(),"src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:252, src/HeadlessDCGO.Engine/Headless/Services/IRuleQueryService.cs:10",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Terminal query is service-based.
HFM-009,Phase 1,싱글톤/컴포넌트 접근,GManager.instance,DCGO/Assets/Scripts/Script/GManager.cs,전역 싱글톤/씬 컴포넌트 접근,역할기반_재설계,EngineContext,src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:15,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Root injected dependency container.
HFM-010,Phase 1,싱글톤/컴포넌트 접근,GManager.instance.turnStateMachine,"GManager.cs, TurnStateMachine.cs",전역 싱글톤/씬 컴포넌트 접근,임시브리지,GManagerBridge.GetTurnStateMachine(),src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs:30,BRIDGE,"임시 브리지: 기존 구조를 옮기기 위한 연결부, 새 코드는 직접 서비스 사용 권장",브리지는 임시 호환 계층이다. 새 구현은 가능한 경우 EngineContext나 직접 Headless 서비스로 연결한다.,장기적으로 직접 서비스 호출로 치환하고 브리지 의존을 줄인다.,브리지를 최종 API처럼 확장하지 말 것.,Temporary compatibility accessor. Prefer EngineContext.TurnController.
HFM-011,Phase 1,싱글톤/컴포넌트 접근,GManager.instance.autoProcessing,"GManager.cs, AutoProcessing.cs",전역 싱글톤/씬 컴포넌트 접근,임시브리지,GManagerBridge.GetAutoProcessing() / EngineContext.EffectScheduler,"src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs:35, src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:75",BRIDGE,"임시 브리지: 기존 구조를 옮기기 위한 연결부, 새 코드는 직접 서비스 사용 권장",브리지는 임시 호환 계층이다. 새 구현은 가능한 경우 EngineContext나 직접 Headless 서비스로 연결한다.,장기적으로 직접 서비스 호출로 치환하고 브리지 의존을 줄인다.,브리지를 최종 API처럼 확장하지 말 것.,Maps auto-processing to effect scheduler contract.
HFM-012,Phase 1,싱글톤/컴포넌트 접근,GManager.instance.attackProcess,"GManager.cs, AttackProcess.cs",전역 싱글톤/씬 컴포넌트 접근,임시브리지,GManagerBridge.GetAttackProcess() / EngineContext.AttackController,"src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs:40, src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:67",BRIDGE,"임시 브리지: 기존 구조를 옮기기 위한 연결부, 새 코드는 직접 서비스 사용 권장",브리지는 임시 호환 계층이다. 새 구현은 가능한 경우 EngineContext나 직접 Headless 서비스로 연결한다.,장기적으로 직접 서비스 호출로 치환하고 브리지 의존을 줄인다.,브리지를 최종 API처럼 확장하지 말 것.,Attack rules remain later Phase work; state contract exists.
HFM-013,Phase 1,싱글톤/컴포넌트 접근,GetComponent<T>(),Unity scene object scripts,전역 싱글톤/씬 컴포넌트 접근,역할기반_재설계,EngineContext.GetService<TService>(),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:107,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Service lookup replaces scene component lookup.
HFM-014,Phase 1,싱글톤/컴포넌트 접근,dynamic service registration,Unity scene object composition,전역 싱글톤/씬 컴포넌트 접근,역할기반_재설계,EngineContext.RegisterService<TService>(...),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:148,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Allows explicit test/runner injection.
HFM-015,Phase 1,싱글톤/컴포넌트 접근,missing service probe,GetComponent<T>() != null style checks,전역 싱글톤/씬 컴포넌트 접근,역할기반_재설계,EngineContext.TryGetService<TService>(out ...),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:128,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,No Unity null semantics.
HFM-016,Phase 1,싱글톤/컴포넌트 접근,ContinuousController.instance,DCGO/Assets/Scripts/Script/ContinuousController.cs,전역 싱글톤/씬 컴포넌트 접근,역할기반_재설계,ContinuousContext.Create(...) / ContinuousContext.FromMatchConfig(...),"src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs:98, src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs:127",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Global runtime flags become immutable/context data.
HFM-017,Phase 1,싱글톤/컴포넌트 접근,PlayerPrefs.Get/Set for gameplay-affecting options,Unity preference usage,전역 싱글톤/씬 컴포넌트 접근,계약고정_후속구현,MatchConfig / ContinuousContext.ToMatchConfig(),src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs:148,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Hidden preferences must become explicit config.
HFM-018,Phase 1,코루틴/시간 처리,StartCoroutine(IEnumerator),"GManager.cs, ContinuousController.cs, TurnStateMachine.cs, CardObjectController.cs",Unity 코루틴/프레임 시간,역할기반_재설계,EngineTaskRunner.Enqueue(IEngineTask),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:9,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Queue task for deterministic execution.
HFM-019,Phase 1,코루틴/시간 처리,immediate coroutine run,coroutine-heavy AS-IS flows,Unity 코루틴/프레임 시간,역할기반_재설계,"EngineTaskRunner.RunAsync(IEngineTask, CancellationToken)",src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:15,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Run one task through the runner.
HFM-020,Phase 1,코루틴/시간 처리,one frame coroutine tick,Unity frame scheduler,Unity 코루틴/프레임 시간,역할기반_재설계,EngineTaskRunner.StepAsync(...),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:21,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Explicit scheduler step.
HFM-021,Phase 1,코루틴/시간 처리,run until coroutine queue drains,nested coroutine chains,Unity 코루틴/프레임 시간,역할기반_재설계,EngineTaskRunner.RunUntilIdleAsync(...),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:54,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Deterministic equivalent for queue drain.
HFM-022,Phase 1,코루틴/시간 처리,StopAllCoroutines / clear pending flows,coroutine owner cleanup,Unity 코루틴/프레임 시간,역할기반_재설계,EngineTaskRunner.Clear(),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs:69,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Clears pending engine tasks.
HFM-023,Phase 1,코루틴/시간 처리,IEnumerator effect/action methods,"CardController.cs, AutoProcessing.cs, AttackProcess.cs, TurnStateMachine.cs",Unity 코루틴/프레임 시간,임시브리지,CoroutineAdapter.FromEnumerator(IEnumerator),src/HeadlessDCGO.Engine/Headless/Coroutines/CoroutineAdapter.cs:7,BRIDGE,"임시 브리지: 기존 구조를 옮기기 위한 연결부, 새 코드는 직접 서비스 사용 권장",브리지는 임시 호환 계층이다. 새 구현은 가능한 경우 EngineContext나 직접 Headless 서비스로 연결한다.,장기적으로 직접 서비스 호출로 치환하고 브리지 의존을 줄인다.,브리지를 최종 API처럼 확장하지 말 것.,Temporary adapter while IEnumerator logic is converted.
HFM-024,Phase 1,코루틴/시간 처리,WaitForSeconds,Unity coroutine waits,Unity 코루틴/프레임 시간,역할기반_재설계,EngineWaitCondition.Seconds(double) / Seconds(TimeSpan),"src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs:25, src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs:43",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,"Time is explicit condition, not Unity wall-clock frame wait."
HFM-025,Phase 1,코루틴/시간 처리,WaitUntil / WaitWhile,Unity coroutine waits,Unity 코루틴/프레임 시간,역할기반_재설계,EngineWaitCondition.Until(Func<bool>),src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs:56,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Predicate waits are explicit and deterministic.
HFM-026,Phase 1,코루틴/시간 처리,"Time.deltaTime, Time.time gameplay sequencing",Unity frame-time use,Unity 코루틴/프레임 시간,계약고정_후속구현,DcgoMatch.StepAsync(...) / HeadlessGameLoop.StepAsync(...),"src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:103, src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessGameLoop.cs:39",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Gameplay progression is action/step based.
HFM-027,Phase 1,액션/턴/공격/메모리,QueueMainPhaseAction,"TurnStateMachine.cs, Player.cs",메인 액션/턴/공격/메모리 상태,역할기반_재설계,HeadlessActionQueue.Enqueue(LegalAction),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs:15,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Queue legal action for later processing.
HFM-028,Phase 1,액션/턴/공격/메모리,DequeueMainPhaseAction,"TurnStateMachine.cs, Player.cs",메인 액션/턴/공격/메모리 상태,역할기반_재설계,HeadlessActionQueue.TryDequeue(out LegalAction?),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs:52,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Dequeue next action.
HFM-029,Phase 1,액션/턴/공격/메모리,main phase action construction,"TurnStateMachine.cs, Player.cs",메인 액션/턴/공격/메모리 상태,역할기반_재설계,HeadlessActionFactory.Create(...),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:9,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Common LegalAction creation entry point.
HFM-030,Phase 1,액션/턴/공격/메모리,pass/no-op action,main phase command placeholder,메인 액션/턴/공격/메모리 상태,역할기반_재설계,"HeadlessActionFactory.NoOp(...), Pass(...)","src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:24, src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:29",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Test and infrastructure actions.
HFM-031,Phase 1,액션/턴/공격/메모리,terminal action/result payload,"EndGame, SetLose, surrender flows",메인 액션/턴/공격/메모리 상태,계약고정_후속구현,HeadlessActionFactory.SetTerminalResult(...),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:39,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Used by metadata processor and tests.
HFM-032,Phase 1,액션/턴/공격/메모리,main phase action execution,"SetPlayCard, SetActSkill, SetAttackingPermaent, MainPhaseAction",메인 액션/턴/공격/메모리 상태,계약고정_후속구현,IActionProcessor.ProcessAsync(...) / MetadataActionProcessor.ProcessAsync(...),"src/HeadlessDCGO.Engine/Headless/Runtime/IActionProcessor.cs, src/HeadlessDCGO.Engine/Headless/Runtime/MetadataActionProcessor.cs:10",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Concrete gameplay handlers are later Phase work.
HFM-033,Phase 1,액션/턴/공격/메모리,legal action query,"CanHatch, CanMove, CanPayCost, main phase command availability",메인 액션/턴/공격/메모리 상태,계약고정_후속구현,IRuleQueryService.GetLegalActions(...),src/HeadlessDCGO.Engine/Headless/Services/IRuleQueryService.cs:6,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Rule availability surface is fixed.
