매핑ID,단계,분류,원본_함수명,원본_위치,원본_의존성_성격,포팅_방식,현재_대표_API,현재_위치,상태,상태_의미,모델_확인_규칙,후속_작업,주의사항,근거
HFM-034,Phase 1,액션/턴/공격/메모리,add/remove legal action in tests/porting,action availability setup,메인 액션/턴/공격/메모리 상태,역할기반_재설계,IHeadlessLegalActionController.AddLegalActions(...) / RemoveLegalAction(...) / ClearLegalActions(),"src/HeadlessDCGO.Engine/Headless/Services/IHeadlessLegalActionController.cs:6, src/HeadlessDCGO.Engine/Headless/Services/IHeadlessLegalActionController.cs:8, src/HeadlessDCGO.Engine/Headless/Services/IHeadlessLegalActionController.cs:10",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Deterministic legal-action seed/control surface.
HFM-035,Phase 1,액션/턴/공격/메모리,phase advance,"SetMainPhase, EndPhase, phase branch changes",메인 액션/턴/공격/메모리 상태,계약고정_후속구현,InMemoryHeadlessTurnController.AdvancePhase(),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:34,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Phase sequence contract exists.
HFM-036,Phase 1,액션/턴/공격/메모리,end turn,EndTurn style flow,메인 액션/턴/공격/메모리 상태,계약고정_후속구현,InMemoryHeadlessTurnController.EndTurn(),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:45,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Turn rotation contract exists.
HFM-037,Phase 1,액션/턴/공격/메모리,direct phase set,Unity state machine phase assignment,메인 액션/턴/공격/메모리 상태,계약고정_후속구현,InMemoryHeadlessTurnController.SetPhase(HeadlessPhase),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:61,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,For deterministic setup and transition tests.
HFM-038,Phase 1,액션/턴/공격/메모리,attack declaration,"AttackProcess.cs, attack command",메인 액션/턴/공격/메모리 상태,계약고정_후속구현,HeadlessActionFactory.DeclareAttack(...) / InMemoryHeadlessAttackController.DeclareAttack(...),"src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:197, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessAttackController.cs:12",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Full battle/security rules later.
HFM-039,Phase 1,액션/턴/공격/메모리,attack resolution,AttackProcess.cs,메인 액션/턴/공격/메모리 상태,계약고정_후속구현,HeadlessActionFactory.ResolveAttack(...) / InMemoryHeadlessAttackController.ResolveAttack(...),"src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:216, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessAttackController.cs:34",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Attack result contract exists.
HFM-040,Phase 1,액션/턴/공격/메모리,memory set/add/pay,memory gauge mutation in AS-IS runtime,메인 액션/턴/공격/메모리 상태,역할기반_재설계,"InMemoryHeadlessMemoryController.Set(...), Add(...), Pay(...)","src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:26, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:32, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:42",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Memory mutation is service controlled.
HFM-041,Phase 1,선택 UI/Choice,SelectCardEffect.SetUp(...) and related setup fields,DCGO/Assets/Scripts/Script/SelectCardEffect.cs,Unity UI 선택/클릭/RPC 대기,역할기반_재설계,ChoiceRequest(...),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs:7,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,"Captures type, player, min/max, skip, zone, candidates."
HFM-042,Phase 1,선택 UI/Choice,SelectPermanentEffect.SetUp(...),SelectPermanentEffect.cs,Unity UI 선택/클릭/RPC 대기,역할기반_재설계,ChoiceRequest(...) / ChoiceCandidate(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs:7, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceCandidate.cs:7",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Permanent candidates become stable IDs.
HFM-043,Phase 1,선택 UI/Choice,SelectCountEffect selected count,SelectCountEffect.cs,Unity UI 선택/클릭/RPC 대기,역할기반_재설계,ChoiceResult.SelectCount(int),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:57,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Count selection result.
HFM-044,Phase 1,선택 UI/Choice,"_targetCards, _targetPermanents","SelectCardEffect.cs, SelectPermanentEffect.cs",Unity UI 선택/클릭/RPC 대기,역할기반_재설계,ChoiceResult.Select(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:46, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:51",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Selected target IDs.
HFM-045,Phase 1,선택 UI/Choice,no-selection / cancel,"canNoSelect, skip button",Unity UI 선택/클릭/RPC 대기,역할기반_재설계,ChoiceResult.Skip(),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:41,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Explicit skip result.
HFM-046,Phase 1,선택 UI/Choice,choice validation,UI-side selectable checks,Unity UI 선택/클릭/RPC 대기,역할기반_재설계,ChoiceResult.Validate(ChoiceRequest) / ThrowIfInvalid(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:62, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:88",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Enforces selected IDs/count against request.
HFM-047,Phase 1,선택 UI/Choice,"Activate(), WaitForEndSelect(), OnClick, EndSelect_RPC","Select*Effect.cs, UserSelectionManager.cs",Unity UI 선택/클릭/RPC 대기,역할기반_재설계,IChoiceProvider.ChooseAsync(...),src/HeadlessDCGO.Engine/Headless/Choices/IChoiceProvider.cs,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,UI wait/click/RPC becomes deterministic provider call.
HFM-048,Phase 1,선택 UI/Choice,queued scripted selection,"QueuePlayerSelection, DequeuePlayerSelection",Unity UI 선택/클릭/RPC 대기,역할기반_재설계,ScriptedChoiceProvider.Enqueue(...) / ChooseAsync(...),"src/HeadlessDCGO.Engine/Headless/Choices/ScriptedChoiceProvider.cs:25, src/HeadlessDCGO.Engine/Headless/Choices/ScriptedChoiceProvider.cs:36",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Test/replay provider.
HFM-049,Phase 1,선택 UI/Choice,AI/policy choice,"IsAI, AI action queue",Unity UI 선택/클릭/RPC 대기,계약고정_후속구현,PolicyChoiceProvider.ChooseAsync(...),src/HeadlessDCGO.Engine/Headless/Choices/PolicyChoiceProvider.cs:12,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Policy hook exists; final AI/RL adapter can plug in.
HFM-050,Phase 1,선택 UI/Choice,choice pause,UI modal blocks gameplay,Unity UI 선택/클릭/RPC 대기,역할기반_재설계,InMemoryHeadlessChoiceController.RequestChoice(...),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessChoiceController.cs:12,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Runtime pending choice state.
HFM-051,Phase 1,선택 UI/Choice,choice resume,selected result returns to effect/action,Unity UI 선택/클릭/RPC 대기,역할기반_재설계,InMemoryHeadlessChoiceController.ResolveChoice(...),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessChoiceController.cs:43,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Runtime choice resolution state.
HFM-052,Phase 1,선택 UI/Choice,clear pending choice,UI selection closed/reset,Unity UI 선택/클릭/RPC 대기,역할기반_재설계,InMemoryHeadlessChoiceController.ClearChoice(),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessChoiceController.cs:70,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Explicit pending choice cleanup.
HFM-053,Phase 1,존/카드상태/GameObject,"GameObject, Transform, Image, SetActive visual-only calls",Unity object scripts,GameObject/Transform 기반 카드 상태,제외,UnityNullObjectPolicy.Evaluate(...) / ShouldExclude(...),"src/HeadlessDCGO.Engine/Headless/Bridge/UnityNullObjectPolicy.cs:7, src/HeadlessDCGO.Engine/Headless/Bridge/UnityNullObjectPolicy.cs:43",EXCLUDED,제외: 시각/UI/클라이언트 전용이라 Headless 런타임에 넣지 않음,Headless core에 구현하지 않는 것이 올바른 상태다. 게임 상태 영향이 새로 발견될 때만 별도 매핑을 만든다.,포팅하지 않는다. 문서상 제외 근거만 유지한다.,시각/UI/오디오/카메라 기능을 Headless runtime에 넣지 말 것.,Visual-only objects are no-op/excluded unless gameplay service replacement is required.
HFM-054,Phase 1,존/카드상태/GameObject,"SetParent, sibling index/order",card object hierarchy,GameObject/Transform 기반 카드 상태,역할기반_재설계,"ZoneState.InsertTop(...), InsertBottom(...), InsertAt(...)","src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:101, src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:108, src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:115",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Ordered zone collection replaces transform hierarchy.
HFM-055,Phase 1,존/카드상태/GameObject,remove card object from area,"CardObjectController, Player zones",GameObject/Transform 기반 카드 상태,역할기반_재설계,ZoneState.Remove(...),src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:130,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Pure data mutation.
HFM-056,Phase 1,존/카드상태/GameObject,move card between zones,"RemoveFromAllArea, MovePermanent, zone object moves",GameObject/Transform 기반 카드 상태,역할기반_재설계,IZoneMover.MoveAsync(...) / InMemoryZoneMover.MoveAsync(...),"src/HeadlessDCGO.Engine/Headless/Services/IZoneMover.cs:9, src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:53",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Main zone movement API.
HFM-057,Phase 1,존/카드상태/GameObject,AddHandCard,"Player.cs, CardObjectController.cs",GameObject/Transform 기반 카드 상태,역할기반_재설계,InMemoryZoneMover.AddToHandAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:61,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Adds card to hand zone.
HFM-058,Phase 1,존/카드상태/GameObject,AddTrashCard,"Player.cs, CardObjectController.cs",GameObject/Transform 기반 카드 상태,역할기반_재설계,InMemoryZoneMover.AddToTrashAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:69,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Adds card to trash zone.
HFM-059,Phase 1,존/카드상태/GameObject,AddSecurityCard,"Player.cs, security flows",GameObject/Transform 기반 카드 상태,역할기반_재설계,InMemoryZoneMover.AddToSecurityAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:77,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Adds card to security zone.
HFM-060,Phase 1,존/카드상태/GameObject,draw from deck/library,"Draw, library top moves",GameObject/Transform 기반 카드 상태,역할기반_재설계,InMemoryZoneMover.DrawAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:101,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Draws deterministic top cards.
HFM-061,Phase 1,존/카드상태/GameObject,add security from library,security setup/recovery flows,GameObject/Transform 기반 카드 상태,역할기반_재설계,InMemoryZoneMover.AddSecurityFromLibraryAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:117,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Moves from library to security.
HFM-062,Phase 1,존/카드상태/GameObject,trash security,security check/trash flows,GameObject/Transform 기반 카드 상태,역할기반_재설계,InMemoryZoneMover.TrashSecurityAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:134,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Moves security cards to trash.
HFM-063,Phase 1,존/카드상태/GameObject,hatch digitama,breeding area setup,GameObject/Transform 기반 카드 상태,역할기반_재설계,InMemoryZoneMover.HatchDigitamaAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:163,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Moves digitama to breeding.
HFM-064,Phase 1,존/카드상태/GameObject,move breeding to battle,raising phase movement,GameObject/Transform 기반 카드 상태,역할기반_재설계,InMemoryZoneMover.MoveBreedingToBattleAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:181,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Moves breeding card(s) to battle.
HFM-065,Phase 1,존/카드상태/GameObject,shuffle deck/library,"Shuffle, GameRandom, deck randomization",GameObject/Transform 기반 카드 상태,역할기반_재설계,InMemoryZoneMover.ShuffleAsync(...) / GameRandomSource.Shuffle<T>(...),"src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:201, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:60",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Seeded shuffle.
